danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.73,0.891,-7.939,0.0701,0.045,0.712,0.186,0.976,129.965,173264
0.818,0.748,-6.678,0.0717,0.00791,0.00775,0.207,0.472,126.069,180952
0.297,0.555,-9.344,0.047,0.0263,0.409,0.303,0.228,144.601,220653
0.656,0.203,-14.992,0.0574,0.983,0.772,0.164,0.419,143.915,146720
0.631,0.965,-5.273,0.0689,0.112,0.663,0.0717,0.395,120.029,232305
0.792,0.786,-8.901,0.0653,0.00101,0.783,0.132,0.698,128.017,221387
0.752,0.577,-8.829,0.0292,0.0315,0.11,0.0804,0.238,120.021,228621
0.722,0.521,-8.099,0.0909,0.472,1.66e-05,0.0743,0.962,159.936,141782
0.661,0.393,-17.649,0.0653,0.00484,0.809,0.065,0.503,134.002,490299
0.774,0.716,-7.907,0.0632,0.0283,0.0479,0.172,0.686,125.01,217621
0.648,0.757,-5.932,0.0296,0.276,0.092,0.0987,0.38,119.971,247327
0.806,0.981,-6.689,0.0646,0.00586,0.863,0.0512,0.914,128.0,360077
0.703,0.875,-4.361,0.0485,0.00259,0.729,0.0379,0.551,128.003,197728
0.797,0.548,-5.992,0.033,0.71,0.0336,0.115,0.465,127.993,168724
0.608,0.479,-9.213,0.0397,0.4,0.272,0.107,0.313,130.023,262000
0.565,0.447,-7.429,0.0529,0.0086,0.0335,0.111,0.126,165.993,220452
0.681,0.826,-6.72,0.0547,0.362,0.0132,0.14,0.549,123.996,241087
0.857,0.558,-7.888,0.134,0.0122,4.8e-05,0.288,0.453,123.973,288255
0.742,0.808,-8.242,0.0568,0.000239,0.812,0.0745,0.569,126.017,288088
0.639,0.658,-8.633,0.0353,0.0126,0.829,0.123,0.29,121.998,288019
0.589,0.895,-7.397,0.0399,0.000595,0.617,0.239,0.255,126.002,263158
0.731,0.715,-10.124,0.0396,0.334,0.897,0.114,0.327,120.984,297606
0.631,0.811,-7.931,0.0326,0.439,0.899,0.0672,0.147,126.98,253500
0.836,0.831,-6.624,0.078,0.000349,0.112,0.12,0.545,136.004,348315
0.797,0.718,-6.868,0.0569,0.0338,0.579,0.0944,0.561,112.019,195605
